price,weight,days_since_launch,product_category,seasonal_item,advertised_as,high_return_rate
52.127115249394,3.8987653450221655,322.1593286144775,Clothing,No,Standard,0
48.59756314236556,2.909821161288707,,Clothing,Yes,Standard,0
39.603676818521684,1.8318760387432613,278.8258210570032,Clothing,No,Budget,0
,1.8589766121149613,335.1128424968366,Clothing,No,Premium,0
1.2721530883858456,1.7783751197087743,10.74248192315517,Electronics,,Budget,1
44.793670866317555,1.7739348228864544,124.9798437810111,Beauty,Yes,Standard,1
46.08558698075884,1.6791862824575872,119.77231345187944,Home,No,Standard,1
48.39307646749366,1.3701908675380852,143.25750143310432,Sports,No,Budget,1
36.95955518485904,3.145359851019629,253.99070450890719,Sports,Yes,Standard,1
77.16279911763979,2.7507095545577425,166.54617140725875,Clothing,Yes,Budget,1
72.05391103985184,4.640304124958223,255.33242317629387,Home,Yes,Budget,1
9.954094505232138,2.6931974959539993,220.93688916871866,Beauty,No,Standard,0
69.89068069395854,1.1650841707015047,39.84621957192812,Beauty,No,Budget,1
17.674609092646023,2.435189298295753,61.50989852879571,Sports,Yes,Premium,1
43.232189693936334,2.820035371037239,302.1782442620981,Beauty,Yes,Budget,1
23.937025743062375,0.7793586263393018,229.71283055686638,Beauty,No,Budget,1
47.55155665737342,,325.26914535078623,Home,Yes,Budget,0
50.43256356194544,,217.43171354386553,Electronics,No,Budget,0
75.88624996544314,2.9920474626688134,278.067394842591,Home,Yes,Budget,1
61.13738372531481,1.868695961715111,89.83812461797369,Sports,No,Budget,1
42.05968521226534,-0.18706962303597985,132.64041940964992,Sports,No,Premium,1
37.11073269092951,,184.08076194229847,Sports,No,Budget,0
,1.8507540742676731,351.0337544106944,Sports,Yes,Budget,0
57.61393680564116,,,Home,Yes,Premium,0
93.38302231003509,2.406856025501538,151.7222725069146,Home,Yes,Standard,1
59.18581039183142,1.435356227291637,48.091938596196734,,No,Budget,1
45.774176783204695,1.0300680809194325,322.8500653002,Beauty,Yes,Budget,1
51.48877859639228,1.5064319690131,219.02548482193384,Beauty,Yes,Standard,1
73.41776157821461,1.8328277583225518,259.0364291164786,Clothing,Yes,Budget,1
33.44932662195451,1.2352684444740616,196.43802005468413,Beauty,Yes,Premium,1
70.87003694270871,1.7894885276365362,46.81764188397579,Clothing,Yes,Premium,1
58.63774566634226,2.247244292334223,103.37907689786412,Beauty,No,Premium,1
54.78660678554761,1.478446801454687,40.861395952342676,Beauty,No,Standard,1
65.93788095668647,3.576077588260728,196.05707341815855,Home,Yes,Budget,1
53.34262295382888,4.463894030911495,222.36814962575127,Sports,Yes,Standard,1
53.9336506598421,2.133373090871228,213.00657879834242,Beauty,Yes,Standard,1
39.84433513015697,1.651406176322411,147.30257399340593,Sports,Yes,Budget,1
87.94784597636789,,159.15000580084455,Electronics,Yes,,0
33.00166509290903,1.826943907859773,154.14367680810852,Sports,No,Premium,1
70.1473743499503,1.4328166999770349,40.5457379956903,Electronics,Yes,Premium,1
40.34278502324723,2.4265950817959063,165.29941298113093,Electronics,Yes,Premium,1
,3.721537378545838,76.7844831352927,Electronics,No,Premium,0
64.64251147573381,1.4652218027300583,25.015812420045876,Home,Yes,Standard,1
18.394323039856246,1.914689854814704,72.67585071536277,Beauty,Yes,Budget,1
73.28189158123223,2.5732911923490303,4.970405896400965,Beauty,No,Premium,1
38.35518153620505,2.7539105726302333,9.230948894911448,Clothing,Yes,Standard,1
41.729002555457186,2.7395595545208264,306.2231224909753,Sports,Yes,Standard,1
62.74774071288989,0.9149515386171412,46.41733974876901,Clothing,No,,1
60.53953482542024,0.9800299214926533,293.5069729447833,Beauty,Yes,Premium,1
19.803255329724834,3.5077286360897224,284.9724364856763,Home,Yes,Standard,1
34.15796203245071,0.4843161771855118,107.32703175331807,Sports,No,Budget,1
37.25556484157457,3.1173764382217133,283.31204824308054,Beauty,Yes,Budget,1
38.07402265656049,2.1114057823045944,284.19736971630107,Beauty,Yes,Budget,1
64.58433073127014,-0.1916097911106287,162.78448902906206,Sports,No,Budget,0
77.10951404017723,3.1632349537869606,200.45492823358947,Clothing,No,Premium,1
38.81679801386835,0.9358060363978924,,Sports,No,Premium,0
28.402682541415803,2.800311897641416,177.9480369059309,Home,Yes,Standard,1
29.248052093847654,3.1981722728101216,304.20110149715987,Clothing,Yes,Standard,1
59.63350403587021,1.6110558181509167,291.0592406671482,Clothing,Yes,Premium,1
61.10603310952389,1.7516247328280652,331.6604871360776,Sports,Yes,Standard,1
9.808329718294075,1.34319778518478,273.0751782596385,Beauty,Yes,Premium,1
40.74081294809954,1.2062035357964038,9.449854555138895,Home,Yes,Premium,1
6.732004092625736,3.183802101469718,240.87418472528398,Sports,Yes,Budget,1
